elapsed_s,connected,reconnects,last_frame_age_s,capture_fps,detection_fps,degraded,workers,det_frames,det_exceptions,det_avg_latency,rec_identified,rec_exceptions
1258.2,True,0,0.026,15.36,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",10451,0,0.0481,0,0
1280.2,True,0,0.045,15.18,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",10633,0,0.0443,0,0
1302.3,True,0,0.055,15.12,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",10814,0,0.047,0,0
1324.3,True,0,0.037,14.75,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",10992,0,0.0494,0,0
1346.3,True,0,0.029,15.2,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",11173,0,0.0429,0,0
1368.4,True,0,0.056,14.83,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",11356,0,0.0471,0,0
1390.4,True,0,0.025,15.53,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",11535,0,0.0399,0,0
1412.4,True,0,0.044,14.55,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",11718,0,0.0463,0,0
1434.5,True,0,0.045,15.32,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",11899,0,0.0394,0,0
1456.5,True,0,0.059,14.95,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",12081,0,0.0451,0,0
1478.5,True,0,0.02,14.89,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",12262,0,0.0422,0,0
